 time           v(net6)        time           v(net1)        time           i(vdd)        
 0.0000000e+00  5.9978969e-01  0.0000000e+00  6.0000000e-01  0.0000000e+00 -1.8429601e-04 
 1.0000000e-13  5.9979071e-01  1.0000000e-13  6.0020000e-01  1.0000000e-13 -1.7247042e-04 
 2.0000000e-13  5.9979172e-01  2.0000000e-13  6.0040000e-01  2.0000000e-13 -1.7064571e-04 
 4.0000000e-13  5.9979374e-01  4.0000000e-13  6.0080000e-01  4.0000000e-13 -1.6976923e-04 
 8.0000000e-13  5.9979777e-01  8.0000000e-13  6.0160000e-01  8.0000000e-13 -1.7010658e-04 
 1.6000000e-12  5.9980580e-01  1.6000000e-12  6.0320000e-01  1.6000000e-12 -1.6952611e-04 
 3.2000000e-12  5.9982175e-01  3.2000000e-12  6.0640000e-01  3.2000000e-12 -1.6938177e-04 
 6.4000000e-12  5.9985325e-01  6.4000000e-12  6.1280000e-01  6.4000000e-12 -1.6818560e-04 
 1.0000000e-11  5.9988802e-01  1.0000000e-11  6.2000000e-01  1.0000000e-11 -1.6746607e-04 
 1.0640000e-11  5.9988763e-01  1.0640000e-11  6.2000000e-01  1.0640000e-11 -1.8107311e-04 
 1.1920000e-11  5.9988688e-01  1.1920000e-11  6.2000000e-01  1.1920000e-11 -1.8192958e-04 
 1.4480000e-11  5.9988540e-01  1.4480000e-11  6.2000000e-01  1.4480000e-11 -1.8109495e-04 
 1.9600000e-11  5.9988245e-01  1.9600000e-11  6.2000000e-01  1.9600000e-11 -1.8181145e-04 
 2.9840000e-11  5.9987658e-01  2.9840000e-11  6.2000000e-01  2.9840000e-11 -1.8093832e-04 
 5.0320000e-11  5.9986499e-01  5.0320000e-11  6.2000000e-01  5.0320000e-11 -1.8147666e-04 
 9.1280000e-11  5.9984224e-01  9.1280000e-11  6.2000000e-01  9.1280000e-11 -1.8034279e-04 
 1.7320000e-10  5.9979763e-01  1.7320000e-10  6.2000000e-01  1.7320000e-10 -1.8047421e-04 
 2.7320000e-10  5.9974362e-01  2.7320000e-10  6.2000000e-01  2.7320000e-10 -1.7920465e-04 
 3.7320000e-10  5.9968932e-01  3.7320000e-10  6.2000000e-01  3.7320000e-10 -1.7962410e-04 
 4.7320000e-10  5.9963468e-01  4.7320000e-10  6.2000000e-01  4.7320000e-10 -1.7870513e-04 
 5.7320000e-10  5.9958004e-01  5.7320000e-10  6.2000000e-01  5.7320000e-10 -1.7939092e-04 
 6.7320000e-10  5.9952591e-01  6.7320000e-10  6.2000000e-01  6.7320000e-10 -1.7868076e-04 
 7.7320000e-10  5.9947280e-01  7.7320000e-10  6.2000000e-01  7.7320000e-10 -1.7952424e-04 
 8.7320000e-10  5.9942117e-01  8.7320000e-10  6.2000000e-01  8.7320000e-10 -1.7893965e-04 
 9.7320000e-10  5.9937140e-01  9.7320000e-10  6.2000000e-01  9.7320000e-10 -1.7987718e-04 
 1.0732000e-09  5.9932383e-01  1.0732000e-09  6.2000000e-01  1.0732000e-09 -1.7936903e-04 
 1.1732000e-09  5.9927871e-01  1.1732000e-09  6.2000000e-01  1.1732000e-09 -1.8036245e-04 
 1.2732000e-09  5.9923625e-01  1.2732000e-09  6.2000000e-01  1.2732000e-09 -1.7990090e-04 
 1.3732000e-09  5.9919662e-01  1.3732000e-09  6.2000000e-01  1.3732000e-09 -1.8092679e-04 
 1.4732000e-09  5.9915993e-01  1.4732000e-09  6.2000000e-01  1.4732000e-09 -1.8049332e-04 
 1.5732000e-09  5.9912628e-01  1.5732000e-09  6.2000000e-01  1.5732000e-09 -1.8153701e-04 
 1.6732000e-09  5.9909575e-01  1.6732000e-09  6.2000000e-01  1.6732000e-09 -1.8111994e-04 
 1.7732000e-09  5.9906837e-01  1.7732000e-09  6.2000000e-01  1.7732000e-09 -1.8217208e-04 
 1.8732000e-09  5.9904418e-01  1.8732000e-09  6.2000000e-01  1.8732000e-09 -1.8176390e-04 
 1.9732000e-09  5.9902320e-01  1.9732000e-09  6.2000000e-01  1.9732000e-09 -1.8281848e-04 
 2.0732000e-09  5.9900545e-01  2.0732000e-09  6.2000000e-01  2.0732000e-09 -1.8241434e-04 
 2.1732000e-09  5.9899091e-01  2.1732000e-09  6.2000000e-01  2.1732000e-09 -1.8346743e-04 
 2.2732000e-09  5.9897958e-01  2.2732000e-09  6.2000000e-01  2.2732000e-09 -1.8306413e-04 
 2.3732000e-09  5.9897146e-01  2.3732000e-09  6.2000000e-01  2.3732000e-09 -1.8411316e-04 
 2.4732000e-09  5.9896651e-01  2.4732000e-09  6.2000000e-01  2.4732000e-09 -1.8370858e-04 
 2.5732000e-09  5.9896473e-01  2.5732000e-09  6.2000000e-01  2.5732000e-09 -1.8475184e-04 
 2.6732000e-09  5.9896608e-01  2.6732000e-09  6.2000000e-01  2.6732000e-09 -1.8434458e-04 
 2.7732000e-09  5.9897053e-01  2.7732000e-09  6.2000000e-01  2.7732000e-09 -1.8538090e-04 
 2.8732000e-09  5.9897808e-01  2.8732000e-09  6.2000000e-01  2.8732000e-09 -1.8497001e-04 
 2.9732000e-09  5.9898866e-01  2.9732000e-09  6.2000000e-01  2.9732000e-09 -1.8599863e-04 
 3.0732000e-09  5.9900226e-01  3.0732000e-09  6.2000000e-01  3.0732000e-09 -1.8558343e-04 
 3.1732000e-09  5.9901885e-01  3.1732000e-09  6.2000000e-01  3.1732000e-09 -1.8660380e-04 
 3.2732000e-09  5.9903838e-01  3.2732000e-09  6.2000000e-01  3.2732000e-09 -1.8618385e-04 
 3.3732000e-09  5.9906082e-01  3.3732000e-09  6.2000000e-01  3.3732000e-09 -1.8719560e-04 
 3.4732000e-09  5.9908615e-01  3.4732000e-09  6.2000000e-01  3.4732000e-09 -1.8677057e-04 
